iter	Passed	Remaining
0	57	57229
1	57	28702
2	57	19189
3	57	14433
4	58	11587
5	58	9683
6	58	8322
7	58	7306
8	59	6510
9	59	5875
10	59	5354
11	59	4920
12	60	4557
13	60	4247
14	60	3973
15	60	3732
16	60	3523
17	61	3335
18	61	3167
19	61	3017
20	61	2880
21	62	2757
22	62	2646
23	62	2542
24	62	2446
25	62	2357
26	63	2275
27	63	2199
28	63	2128
29	63	2063
30	64	2001
31	64	1942
32	64	1889
33	64	1840
34	65	1793
35	65	1747
36	65	1703
37	65	1662
38	65	1622
39	66	1585
40	66	1550
41	67	1529
42	67	1497
43	67	1466
44	67	1436
45	67	1408
46	68	1381
47	68	1356
48	68	1331
49	68	1308
50	69	1284
51	69	1262
52	69	1240
53	69	1219
54	69	1199
55	70	1180
56	70	1161
57	70	1144
58	70	1126
59	70	1109
60	71	1093
61	71	1077
62	71	1062
63	71	1048
64	71	1033
65	72	1020
66	72	1007
67	72	994
68	72	981
69	72	969
70	73	958
71	73	947
72	73	936
73	73	924
74	74	914
75	74	903
76	74	893
77	74	883
78	74	873
79	75	864
80	75	855
81	75	846
82	75	835
83	75	827
84	76	819
85	76	811
86	76	804
87	76	796
88	77	788
89	77	781
90	77	773
91	77	766
92	77	759
93	78	752
94	78	745
95	78	739
96	78	732
97	78	726
98	79	720
99	79	714
100	79	707
101	79	704
102	80	699
103	80	693
104	80	687
105	80	682
106	81	677
107	81	671
108	81	666
109	81	661
110	82	656
111	82	651
112	82	646
113	82	641
114	82	636
115	82	632
116	83	627
117	83	622
118	83	618
119	83	614
120	83	610
121	84	605
122	84	602
123	84	598
124	84	593
125	85	589
126	85	585
127	85	582
128	85	578
129	85	574
130	86	570
131	86	567
132	86	563
133	86	560
134	86	556
135	87	552
136	87	549
137	87	546
138	87	542
139	87	539
140	88	536
141	88	532
142	88	529
143	88	526
144	88	523
145	89	520
146	89	517
147	89	514
148	89	512
149	89	509
150	90	506
151	90	504
152	90	501
153	90	498
154	90	496
155	91	493
156	91	490
157	91	488
158	91	485
159	92	483
160	92	480
161	92	477
162	92	475
163	92	473
164	93	470
165	93	468
166	93	465
167	93	463
168	93	461
169	93	458
170	94	456
171	94	454
172	94	452
173	94	450
174	95	448
175	95	445
176	95	443
177	95	441
178	95	439
179	96	437
180	96	435
181	96	433
182	96	431
183	96	429
184	97	427
185	97	425
186	97	423
187	97	421
188	97	420
189	98	418
190	98	416
191	98	414
192	98	412
193	98	410
194	99	409
195	99	407
196	99	405
197	99	403
198	99	402
199	100	400
200	100	398
201	100	397
202	100	395
203	100	393
204	101	392
205	101	390
206	101	389
207	101	387
208	101	385
209	102	384
210	102	382
211	102	381
212	102	379
213	102	378
214	103	376
215	103	375
216	103	373
217	103	372
218	103	370
219	104	369
220	104	367
221	104	366
222	104	365
223	105	363
224	105	362
225	105	361
226	105	359
227	105	358
228	106	356
229	106	355
230	106	354
231	106	353
232	106	351
233	107	350
234	107	349
235	107	348
236	107	347
237	108	345
238	108	344
239	108	343
240	108	342
241	108	341
242	109	339
243	109	338
244	109	337
245	109	336
246	110	335
247	110	334
248	110	333
249	110	331
250	110	330
251	111	329
252	111	328
253	111	327
254	111	326
255	111	325
256	112	324
257	112	323
258	112	322
259	112	321
260	112	319
261	113	318
262	113	317
263	113	316
264	113	315
265	114	314
266	114	313
267	114	312
268	114	311
269	114	310
270	115	309
271	115	308
272	115	307
273	115	306
274	115	305
275	116	304
276	116	303
277	116	302
278	116	301
279	116	300
280	117	299
281	117	298
282	117	297
283	117	297
284	118	296
285	118	295
286	118	294
287	118	293
288	119	292
289	119	291
290	119	290
291	119	290
292	119	289
293	120	288
294	120	287
295	120	286
296	120	285
297	120	284
298	121	283
299	121	283
300	121	282
301	121	281
302	121	280
303	122	279
304	122	278
305	122	277
306	122	277
307	122	276
308	123	275
309	123	274
310	123	273
311	123	272
312	123	272
313	124	271
314	124	270
315	124	269
316	124	269
317	125	268
318	125	267
319	125	266
320	125	265
321	125	265
322	126	264
323	126	263
324	126	262
325	126	261
326	126	261
327	127	260
328	127	259
329	127	258
330	127	258
331	128	257
332	128	256
333	128	256
334	128	255
335	128	254
336	129	253
337	129	253
338	129	252
339	129	251
340	129	251
341	130	250
342	130	249
343	130	249
344	130	248
345	130	247
346	131	246
347	131	246
348	131	245
349	131	244
350	131	244
351	132	243
352	132	242
353	132	241
354	132	241
355	133	240
356	133	240
357	133	239
358	133	238
359	134	238
360	134	237
361	134	237
362	134	236
363	134	235
364	135	235
365	135	234
366	135	233
367	135	233
368	135	232
369	136	231
370	136	231
371	136	230
372	136	230
373	137	229
374	137	228
375	137	228
376	137	227
377	137	227
378	138	226
379	138	225
380	138	225
381	138	224
382	138	223
383	139	223
384	139	222
385	139	222
386	139	221
387	140	221
388	140	220
389	140	219
390	140	219
391	141	218
392	141	218
393	141	217
394	141	216
395	141	216
396	142	215
397	142	215
398	142	214
399	142	214
400	142	213
401	143	212
402	143	212
403	143	211
404	143	211
405	143	210
406	144	209
407	144	209
408	144	208
409	144	208
410	144	207
411	145	207
412	145	206
413	145	205
414	145	205
415	145	204
416	146	204
417	146	203
418	146	203
419	146	202
420	146	202
421	147	201
422	147	200
423	147	200
424	147	199
425	147	199
426	148	198
427	148	198
428	148	197
429	148	197
430	149	196
431	149	196
432	149	195
433	149	195
434	149	194
435	150	194
436	150	193
437	150	193
438	150	192
439	150	191
440	151	191
441	151	190
442	151	190
443	151	189
444	151	189
445	152	188
446	152	188
447	152	188
448	152	187
449	153	187
450	153	186
451	153	186
452	153	185
453	153	185
454	154	184
455	154	183
456	154	183
457	154	182
458	154	182
459	155	181
460	155	181
461	155	181
462	155	180
463	155	180
464	156	179
465	156	179
466	156	178
467	156	178
468	156	177
469	157	177
470	157	176
471	157	176
472	157	175
473	158	175
474	158	174
475	158	174
476	158	173
477	158	173
478	159	173
479	159	172
480	159	172
481	159	171
482	159	171
483	160	170
484	160	170
485	160	169
486	160	169
487	161	168
488	161	168
489	161	168
490	161	167
491	161	167
492	162	166
493	162	166
494	162	165
495	162	165
496	162	164
497	163	164
498	163	163
499	163	163
500	163	163
501	163	162
502	164	162
503	164	161
504	164	161
505	164	160
506	164	160
507	165	159
508	165	159
509	165	159
510	165	158
511	165	158
512	166	157
513	166	157
514	166	156
515	166	156
516	167	156
517	167	155
518	167	155
519	167	154
520	167	154
521	168	154
522	168	153
523	168	153
524	168	152
525	169	152
526	169	151
527	169	151
528	169	151
529	169	150
530	170	150
531	170	149
532	170	149
533	170	148
534	170	148
535	171	148
536	171	147
537	171	147
538	171	146
539	171	146
540	172	145
541	172	145
542	172	145
543	172	144
544	172	144
545	173	144
546	173	143
547	173	143
548	173	142
549	174	142
550	174	142
551	174	141
552	174	141
553	174	140
554	175	140
555	175	139
556	175	139
557	175	139
558	175	138
559	176	138
